Date,Avg_Sales
14-08-2019,220113.98
15-08-2019,263894.48
16-08-2019,215410.38
17-08-2019,256201.61
18-08-2019,259592.55
19-08-2019,233298.06
20-08-2019,234349.74
21-08-2019,218679.18
22-08-2019,208337.4
23-08-2019,218603.02
24-08-2019,218356.69
25-08-2019,236557.7
26-08-2019,244600.93
27-08-2019,173780.34
28-08-2019,227967.41
29-08-2019,242481.57
30-08-2019,226342.06
31-08-2019,228191.98
01-09-2019,268675.08
02-09-2019,271965.21
03-09-2019,275126.22
04-09-2019,230278.95
05-09-2019,256859.17
06-09-2019,210698.81
07-09-2019,216542.82
08-09-2019,222073.98
09-09-2019,217694.91
10-09-2019,217880.81
11-09-2019,201718.53
12-09-2019,219563.69
13-09-2019,227821.82
14-09-2019,217299.66
15-09-2019,372582.64
16-09-2019,331802.21
17-09-2019,260919.64
18-09-2019,224719.15
19-09-2019,221559.01
20-09-2019,184598.02
21-09-2019,186489.47
22-09-2019,251534.04
23-09-2019,279608.95
24-09-2019,200961.82
25-09-2019,205459.21
26-09-2019,231801.4
27-09-2019,200449.22
28-09-2019,182763.34
29-09-2019,253086.1
30-09-2019,248695.7
01-10-2019,256026.31
02-10-2019,356315.42
03-10-2019,302339.05
04-10-2019,189678.59
05-10-2019,236861.54
06-10-2019,227572.67
07-10-2019,256260.86
08-10-2019,345251.94
09-10-2019,132079.25
10-10-2019,213298.57
11-10-2019,206206.57
12-10-2019,168509.35
13-10-2019,232844.5
14-10-2019,266161.99
15-10-2019,282792.89
16-10-2019,280241.8
17-10-2019,320021.75
18-10-2019,233537.59
19-10-2019,207857.74
20-10-2019,234794.89
21-10-2019,219227.17
22-10-2019,219187.25
23-10-2019,228994.28
24-10-2019,247200.37
25-10-2019,200967.31
26-10-2019,236614.37
27-10-2019,244011.4
28-10-2019,217208.42
29-10-2019,213632.91
30-10-2019,221052.24
31-10-2019,228958.09
01-11-2019,283279.61
02-11-2019,186113.2
03-11-2019,270495.37
04-11-2019,254899.25
05-11-2019,232850.89
06-11-2019,244251.81
07-11-2019,236513.22
08-11-2019,243362.27
09-11-2019,242791.52
10-11-2019,317031.93
11-11-2019,278212.77
12-11-2019,240151.47
13-11-2019,232809.94
14-11-2019,233678.46
15-11-2019,249331.05
16-11-2019,271119.97
17-11-2019,275362.86
18-11-2019,261254.38
19-11-2019,232971.57
20-11-2019,221562.71
21-11-2019,221874.65
22-11-2019,261860.83
23-11-2019,272682.63
24-11-2019,270794.7
25-11-2019,239325.21
26-11-2019,219434.88
27-11-2019,220603.92
28-11-2019,244503.31
29-11-2019,387782.87
30-11-2019,298387.87
01-12-2019,235578.46
02-12-2019,292335.38
03-12-2019,216374.17
04-12-2019,200021.41
05-12-2019,206058.21
06-12-2019,197139.57
07-12-2019,208231.41
08-12-2019,211988.9
09-12-2019,202158.27
10-12-2019,242580.67
11-12-2019,201133.04
12-12-2019,212698.22
13-12-2019,214610.73
14-12-2019,201591.23
15-12-2019,247431.76
16-12-2019,250983.77
17-12-2019,273935.3
18-12-2019,212035.88
19-12-2019,218878.53
20-12-2019,225096.42
21-12-2019,207686.78
22-12-2019,213521.35
23-12-2019,215194.89
24-12-2019,199523.14
25-12-2019,187434.33
26-12-2019,257826.06
27-12-2019,243526.02
28-12-2019,245059.09
29-12-2019,240530.33
30-12-2019,244605.42
31-12-2019,260421.95
01-01-2020,252640.87
02-01-2020,200888.77
03-01-2020,224462.69
04-01-2020,248292.13
05-01-2020,263469.29
06-01-2020,235815.87
07-01-2020,277610.91
08-01-2020,205021.61
09-01-2020,209670.7
10-01-2020,212016.09
11-01-2020,172257.94
12-01-2020,199308.86
13-01-2020,285542.19
14-01-2020,232109.1
15-01-2020,247740.03
16-01-2020,208654.33
17-01-2020,253004.62
18-01-2020,256785.94
19-01-2020,250872.4
20-01-2020,247245.64
21-01-2020,251788.28
22-01-2020,226449.67
23-01-2020,262419.68
24-01-2020,252560.19
25-01-2020,228461.17
26-01-2020,277614.29
27-01-2020,251287.87
28-01-2020,266084.81
29-01-2020,245060.06
30-01-2020,249710.47
31-01-2020,262878.95
01-02-2020,263471.61
02-02-2020,259026.55
03-02-2020,253701.08
04-02-2020,268408.46
05-02-2020,225734
06-02-2020,261761.4
07-02-2020,263520.14
08-02-2020,236493.42
09-02-2020,279903.85
10-02-2020,245649.73
11-02-2020,156185.63
12-02-2020,256820.89
13-02-2020,257979.04
14-02-2020,211208.19
15-02-2020,132280.48
16-02-2020,119706.65
17-02-2020,67669.08
18-02-2020,99581.05
19-02-2020,119482.75
20-02-2020,61747.81
21-02-2020,94330.66
22-02-2020,104011.73
23-02-2020,81759.07
24-02-2020,114515
25-02-2020,106840.28
26-02-2020,93433.27
27-02-2020,133760.05
28-02-2020,111357.13
29-02-2020,123398.33
01-03-2020,106383.59
02-03-2020,105024.79
03-03-2020,84097.06
04-03-2020,100809.11
05-03-2020,78512.86
06-03-2020,106858.23
07-03-2020,102236.67
08-03-2020,61481.6
09-03-2020,88552.74
10-03-2020,79253.77
11-03-2020,190650.49
12-03-2020,175114.04
13-03-2020,140589.45
14-03-2020,116926.19
15-03-2020,93375.18
16-03-2020,158318.14
17-03-2020,172660.8
18-03-2020,1015197.46
19-03-2020,907362.88
20-03-2020,825138.88
21-03-2020,533578.97
22-03-2020,461901.71
23-03-2020,377479.28
24-03-2020,326099.31
25-03-2020,275287.11
26-03-2020,268672.02
27-03-2020,269205.32
28-03-2020,280121.23
29-03-2020,264498.41
30-03-2020,388649.24
31-03-2020,425763.31
01-04-2020,443922.86
02-04-2020,387095.94
03-04-2020,437603.03
04-04-2020,397291.47
05-04-2020,357111.6
06-04-2020,311818.51
07-04-2020,297850.37
08-04-2020,288750.12
09-04-2020,272204.37
10-04-2020,271093.06
11-04-2020,266468.92
12-04-2020,261946.23
13-04-2020,283944.78
14-04-2020,285981.17
15-04-2020,358168.93
16-04-2020,385806.24
17-04-2020,306153.61
18-04-2020,270512.34
